id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
1784,"fortunately,","however,","unfortunately, it is.",it is very easy for everyone to understand why this industry has such a detrimental effect on millions of human lives..........,,
1785,"then,","finally,","I turned it on and started going through the frequencies, hearing nothing but squeaking and beeping that sounded like automatic equipment.","i heard a voice, calling way back in the shrill squeaking, and figured out that it was someone far away who spoke spanish, but i couldn't tell anything else.",,
1786,and,"again,","Anyways, I'll post some pictures as soon as I can get some.",any tips/experiences from those who have kept this fish would be greatly appreciated!!,,
1787,by then,"however,",He says a supervisor got furious and told him never again to embarrass a fellow agent.,"he had begun sharing everything he suspected with the justice department's inspector general, the office that investigates misconduct in any part of the justice department, including the fbi.",,
1788,"separately,",and,"(Michael Chabon's review-essay of The Road, which includes much discussion of these issues, is excellent, although sadly not freely available.)","to go off at a slight tangent from one of the points in your original post, of course any criticism has to address the whole of the sf genre.",,
1789,"later,","though,","When several people audibly make their feelings known, Johnston acknowledges the adulation sheepishly, like it's the first time he's heard it.",the crowd's comments become a little disconcerting.,,
1790,but,"then,",My husband said he couldn't tell any difference.,one day the gals at fox pilates were talking about yamuna zake's new body rolling system for the face.,,
1791,"eventually,","however,",I was suddenly single and without much hope of finding a date.,natural desires took over.,,
1792,"overall,","then,","The more satisfied husbands reported being with sacrificing for their wives, the less making a major sacrifice for their wife was associated with lower marital satisfaction.","regular expressions of generosity, but not major acts of sacrifice, are linked to higher quality marriages among contemporary spouses (aged 18-55).",,
1793,"otherwise,","though,","Should he lay an egg at the season-ending Tour Championship and Woods matches him with a fourth victory this year, it could be argued that at least there's an argument.","the player tiger refers to as a ""kid"" has removed the volatility from what was an ongoing debate.",,
1794,"ultimately,","though,","For those people - myself included - that just can't seem to figure out how to tie one, How To Tie a Tie is a great tool for your Android phone.",the app is very basic and lacks a bit of flair and creativity.,,
1795,"meaning,",in other words,"While it is admirable to simply be long on biotech stocks, r there some charities that caught your fancies.",r u giving back?,,
1796,"or,","rather,",The duo (fleshed out by a full touring band) performs a free show tonight at MOTR Pub in Over-the-Rhine.,"you'll hear how almost no two ""jam bands"" sound alike anymore, making the grateful dead-mimicking cliches about the scene completely outdated.",,
1797,"fortunately,","though,","More accurately, it was a humongous waste of space with no purpose except, perhaps, intimidation; it made visitors feel as if they'd wandered into somewhere they didn't belong.",the hotel's management took the storm damage as an opportunity to redesign.,,
1798,"thereafter,","however,","In the initial 20 min (first meal), both peptides were equally effective, producing large reductions of food intake.","cck-33 was more effective than cck-8, producing much more sustained reductions.",,
1799,"now,","however,","I know, I know, these are harsh words and hard to read; not at all uplifting.",is time for sobriety and seriousness.,,
1800,"although,",since then,Of course I have always been a member of some social media site ever since my cousin made me a MySpace when I was 13.,social media and its various uses have grown and transformed and morphed into useful business tools of the modern marketing era.,,
1801,"ultimately,","however,",One might see some glaring weaknesses in how the movement is pursuing what it is all about.,in its very spirit the movement must be about what is most important-what is undeniably essential.,,
1802,"ultimately,","however,","Once the climate switch flipped, Earth veered from frigid snowball to steamy hothouse (possibly with average surface temperatures of 50 to 60 degrees Celsius) within centuries to millennia.","these ice ages, which were more extreme than any ever again experienced on earth, may literally reflect out-of-this-world conditions.",,
1803,"interestingly,","though,",The terms of the option will lay down provisions for independent valuation in the event of disagreement.,eads' press release on the subject is at pains to point out that the put option has not been exercised yet: -.,,
1804,but,at the same time,"They had a great game, you feel good about yourselves.","there's a lot of work ahead, you don't want them to be complacent.",,
1805,but,"now,","Coming into the Vancouver games, the U.S. had never won an Olympic Nordic combined medal in 86 years of competition.",they've got two: first johnny spillane took silver in the individual normal hill/10km cross-country pursuit.,,
1806,additionally,and,"For such taxpayers, the focus should be on the practical, not on the theoretical or grand economics.","i cannot stress this enough, do not add to the irs's woes by creating a whole new tax system for them to administer without repealing an old tax regime.",,
1807,"though,",but,-ton- of scripting that really made the work area come alive.,none of it worked due to a missing area file that.,,
1808,"separately,","meanwhile,","Which, of course took place despite the existence of Prism's carte blanche data schlup.",industry group the cloud security alliance last month warned that us companies are losing orders from foreigners alarmed about the nsa spooks ability to access their data and communications.,,
